0.091281,0
0.207063,17.799656
0.424797,-1.074004
-0.106233,1.148814
0.068393,0.639873
0.195894,0.746899
1.925475,4.894782
-0.272783,-0.53637
-0.12537,-0.204805
-0.079859,-0.112998
-0.057746,-0.072735
-0.04477,-0.051148
-0.036302,-0.038143
-0.030377,-0.029682
-0.026091,-0.023803
-0.02279,-0.019599
-0.020181,-0.016487
-0.018159,-0.014056
-0.016503,-0.012161
-0.015148,-0.010636
-0.014011,-0.009395
-0.013036,-0.008379
-0.012224,-0.007495
-0.011533,-0.006753
-0.010922,-0.006105
-0.010399,-0.005557
-0.009922,-0.005071
-0.009512,-0.00464
-0.009199,-0.004254
-0.008824,-0.003883
-0.008538,-0.003563
-0.008338,-0.003292
-0.008104,-0.003033
-0.007908,-0.002786
-0.007719,-0.002548
-0.007557,-0.002322
-0.00744,-0.002125
-0.007308,-0.001943
-0.007184,-0.001753
-0.007072,-0.001589
-0.006979,-0.001407
-0.006922,-0.001269
-0.006875,-0.001134
-0.006782,-0.000924
-0.006743,-0.000835
-0.006707,-0.000722
-0.00666,-0.000545
-0.006649,-0.000401
-0.006629,-0.000254
-0.006624,-0.000133
